Current local time and date: Sun Nov 10 20:01:25 2013
[  NORMAL ]  Creating simple 4x4 lattice...
[  NORMAL ]  Creating geometry...
[  NORMAL ]  Number of flat source regions: 1280
[  NORMAL ]  Reading tracks in from file
[  NORMAL ]  Initializing track boundary conditions...
[  NORMAL ]  Converging the source...
[  NORMAL ]  Iteration 129: 	k_eff = 1.253022	res = 4.911E-02
[  NORMAL ]  Iteration 130: 	k_eff = 1.253027	res = 4.911E-02
[  NORMAL ]  Iteration 131: 	k_eff = 1.253031	res = 4.910E-02
[  NORMAL ]  Iteration 132: 	k_eff = 1.253036	res = 4.910E-02
[  NORMAL ]  Iteration 133: 	k_eff = 1.253040	res = 4.910E-02
[  NORMAL ]  Iteration 134: 	k_eff = 1.253044	res = 4.910E-02
[  NORMAL ]  Iteration 135: 	k_eff = 1.253048	res = 4.910E-02
[  NORMAL ]  Iteration 136: 	k_eff = 1.253051	res = 4.910E-02
[  NORMAL ]  Iteration 137: 	k_eff = 1.253054	res = 4.910E-02
[  NORMAL ]  Iteration 138: 	k_eff = 1.253058	res = 4.910E-02
[  NORMAL ]  Iteration 139: 	k_eff = 1.253061	res = 4.910E-02
[  NORMAL ]  Iteration 140: 	k_eff = 1.253064	res = 4.910E-02
[  NORMAL ]  Iteration 141: 	k_eff = 1.253067	res = 4.910E-02
[  NORMAL ]  Iteration 142: 	k_eff = 1.253069	res = 4.909E-02
[  NORMAL ]  Iteration 143: 	k_eff = 1.253072	res = 4.909E-02
[  NORMAL ]  Iteration 144: 	k_eff = 1.253074	res = 4.909E-02
[  NORMAL ]  Iteration 145: 	k_eff = 1.253077	res = 4.909E-02
[  NORMAL ]  Iteration 146: 	k_eff = 1.253079	res = 4.909E-02
[  NORMAL ]  Iteration 147: 	k_eff = 1.253081	res = 4.909E-02
[  NORMAL ]  Iteration 148: 	k_eff = 1.253083	res = 4.909E-02
[  NORMAL ]  Iteration 149: 	k_eff = 1.253085	res = 4.909E-02
[  NORMAL ]  Iteration 150: 	k_eff = 1.253087	res = 4.909E-02
[  NORMAL ]  Iteration 151: 	k_eff = 1.253088	res = 4.909E-02
[  NORMAL ]  Iteration 152: 	k_eff = 1.253090	res = 4.909E-02
[  NORMAL ]  Iteration 153: 	k_eff = 1.253092	res = 4.909E-02
[  NORMAL ]  Iteration 154: 	k_eff = 1.253093	res = 4.909E-02
[  NORMAL ]  Iteration 155: 	k_eff = 1.253095	res = 4.909E-02
[  NORMAL ]  Iteration 156: 	k_eff = 1.253096	res = 4.909E-02
[  NORMAL ]  Iteration 157: 	k_eff = 1.253097	res = 4.909E-02
[  NORMAL ]  Iteration 158: 	k_eff = 1.253099	res = 4.909E-02
[  NORMAL ]  Iteration 159: 	k_eff = 1.253100	res = 4.909E-02
[  NORMAL ]  Iteration 160: 	k_eff = 1.253101	res = 4.909E-02
[  NORMAL ]  Iteration 161: 	k_eff = 1.253102	res = 4.909E-02
[  NORMAL ]  Iteration 162: 	k_eff = 1.253103	res = 4.908E-02
[  NORMAL ]  Iteration 163: 	k_eff = 1.253104	res = 4.908E-02
[  NORMAL ]  Iteration 164: 	k_eff = 1.253105	res = 4.908E-02
[  NORMAL ]  Iteration 165: 	k_eff = 1.253106	res = 4.908E-02
[  NORMAL ]  Iteration 166: 	k_eff = 1.253107	res = 4.908E-02
[  NORMAL ]  Iteration 167: 	k_eff = 1.253108	res = 4.908E-02
[  NORMAL ]  Iteration 168: 	k_eff = 1.253108	res = 4.908E-02
[  NORMAL ]  Iteration 169: 	k_eff = 1.253109	res = 4.908E-02
[  NORMAL ]  Iteration 170: 	k_eff = 1.253110	res = 4.908E-02
[  NORMAL ]  Iteration 171: 	k_eff = 1.253111	res = 4.908E-02
[  NORMAL ]  Iteration 172: 	k_eff = 1.253111	res = 4.908E-02
[  NORMAL ]  Iteration 173: 	k_eff = 1.253112	res = 4.908E-02
[  NORMAL ]  Iteration 174: 	k_eff = 1.253112	res = 4.908E-02
[  NORMAL ]  Iteration 175: 	k_eff = 1.253113	res = 4.908E-02
[  NORMAL ]  Iteration 176: 	k_eff = 1.253113	res = 4.908E-02
[  NORMAL ]  Iteration 177: 	k_eff = 1.253114	res = 4.908E-02
[  NORMAL ]  Iteration 178: 	k_eff = 1.253114	res = 4.908E-02
[  NORMAL ]  Iteration 179: 	k_eff = 1.253115	res = 4.908E-02
[  NORMAL ]  Iteration 180: 	k_eff = 1.253115	res = 4.908E-02
[  NORMAL ]  Iteration 181: 	k_eff = 1.253116	res = 4.908E-02
[  NORMAL ]  Iteration 182: 	k_eff = 1.253116	res = 4.908E-02
[  NORMAL ]  Iteration 183: 	k_eff = 1.253116	res = 4.908E-02
[  NORMAL ]  Iteration 184: 	k_eff = 1.253117	res = 4.908E-02
[  NORMAL ]  Iteration 185: 	k_eff = 1.253117	res = 4.908E-02
[  NORMAL ]  Iteration 186: 	k_eff = 1.253118	res = 4.908E-02
[  NORMAL ]  Iteration 187: 	k_eff = 1.253118	res = 4.908E-02
[  NORMAL ]  Iteration 188: 	k_eff = 1.253118	res = 4.908E-02
[  NORMAL ]  Iteration 189: 	k_eff = 1.253118	res = 4.908E-02
[  NORMAL ]  Iteration 190: 	k_eff = 1.253119	res = 4.908E-02
[  NORMAL ]  Iteration 191: 	k_eff = 1.253119	res = 4.908E-02
[  NORMAL ]  Iteration 192: 	k_eff = 1.253119	res = 4.908E-02
[  NORMAL ]  Iteration 193: 	k_eff = 1.253119	res = 4.908E-02
[  NORMAL ]  Iteration 194: 	k_eff = 1.253119	res = 4.908E-02
[  NORMAL ]  Iteration 195: 	k_eff = 1.253120	res = 4.908E-02
[  NORMAL ]  Iteration 196: 	k_eff = 1.253120	res = 4.908E-02
[  NORMAL ]  Iteration 197: 	k_eff = 1.253120	res = 4.908E-02
[  NORMAL ]  Iteration 198: 	k_eff = 1.253120	res = 4.908E-02
[  NORMAL ]  Iteration 199: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 200: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 201: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 202: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 203: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 204: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 205: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 206: 	k_eff = 1.253121	res = 4.908E-02
[  NORMAL ]  Iteration 207: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 208: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 209: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 210: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 211: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 212: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 213: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 214: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 215: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 216: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 217: 	k_eff = 1.253122	res = 4.908E-02
[  NORMAL ]  Iteration 218: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 219: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 220: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 221: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 222: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 223: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 224: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 225: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 226: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 227: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 228: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 229: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 230: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 231: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 232: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 233: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 234: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 235: 	k_eff = 1.253123	res = 4.908E-02
[  NORMAL ]  Iteration 236: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 237: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 238: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 239: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 240: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 241: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 242: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 243: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 244: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 245: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 246: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 247: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 248: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 249: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 250: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 251: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 252: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 253: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 254: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 255: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 256: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 257: 	k_eff = 1.253124	res = 4.908E-02
